,id,name,position,location,team,pitching_summary,pitching_gamesplayed,pitching_gamesstarted,pitching_flyouts,pitching_groundouts,pitching_airouts,pitching_runs,pitching_doubles,pitching_triples,pitching_homeruns,pitching_strikeouts,pitching_baseonballs,pitching_intentionalwalks,pitching_hits,pitching_hitbypitch,pitching_atbats,pitching_caughtstealing,pitching_stolenbases,pitching_stolenbasepercentage,pitching_numberofpitches,pitching_inningspitched,pitching_wins,pitching_losses,pitching_saves,pitching_saveopportunities,pitching_holds,pitching_blownsaves,pitching_earnedruns,pitching_battersfaced,pitching_outs,pitching_gamespitched,pitching_completegames,pitching_shutouts,pitching_pitchesthrown,pitching_balls,pitching_strikes,pitching_strikepercentage,pitching_hitbatsmen,pitching_balks,pitching_wildpitches,pitching_pickoffs,pitching_rbi,pitching_gamesfinished,pitching_runsscoredper9,pitching_homerunsper9,pitching_inheritedrunners,pitching_inheritedrunnersscored,pitching_catchersinterference,pitching_sacbunts,pitching_sacflies,pitching_passedball,pitching_popouts,pitching_lineouts,pitching_note,game_id
2,518397,Scott Alexander,P,home,COL,"1.0 IP, ER, K, 0 BB",1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,.---,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,24.0,7.0,17.0,.710,0.0,0.0,0.0,0.0,1.0,0.0,9.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,777976
8,607732,Jacob Stallings,P,home,COL,"2.0 IP, ER, K, 0 BB",1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,.---,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,1.0,0.0,0.0,26.0,9.0,17.0,.650,0.0,0.0,0.0,0.0,1.0,1.0,4.50,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,777976
11,675848,Juan Mejia,P,home,COL,"1.1 IP, 4 ER, 0 K, 2 BB",1.0,0.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,6.0,0.0,10.0,0.0,0.0,.---,44.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,1.0,0.0,0.0,44.0,15.0,29.0,.660,0.0,0.0,0.0,0.0,7.0,0.0,47.25,13.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,777976
14,641755,Tyler Kinley,P,home,COL,"1.0 IP, 0 ER, K, BB",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,.---,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,15.0,6.0,9.0,.600,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,777976
16,687134,Bradley Blalock,P,home,COL,"3.2 IP, 12 ER, K, 2 BB",1.0,1.0,4.0,5.0,5.0,12.0,2.0,0.0,3.0,1.0,2.0,0.0,13.0,0.0,23.0,0.0,0.0,.---,87.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,12.0,26.0,11.0,1.0,0.0,0.0,87.0,33.0,54.0,.620,0.0,0.0,1.0,0.0,11.0,0.0,29.45,7.36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,"(L, 0-2)",777976
44,663568,Stephen Kolek,P,away,SD,"9.0 IP, 0 ER, 7 K, 2 BB",1.0,1.0,5.0,11.0,7.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,30.0,0.0,0.0,.---,104.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,27.0,1.0,1.0,1.0,104.0,36.0,68.0,.650,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"(W, 2-0)",777976
