,batting_flyouts,batting_groundouts,batting_airouts,batting_runs,batting_doubles,batting_triples,batting_homeruns,batting_strikeouts,batting_baseonballs,batting_intentionalwalks,batting_hits,batting_hitbypitch,batting_avg,batting_atbats,batting_obp,batting_slg,batting_ops,batting_caughtstealing,batting_stolenbases,batting_stolenbasepercentage,batting_groundintodoubleplay,batting_groundintotripleplay,batting_plateappearances,batting_totalbases,batting_rbi,batting_leftonbase,batting_sacbunts,batting_sacflies,batting_catchersinterference,batting_pickoffs,batting_atbatsperhomerun,batting_popouts,batting_lineouts,pitching_flyouts,pitching_groundouts,pitching_airouts,pitching_runs,pitching_doubles,pitching_triples,pitching_homeruns,pitching_strikeouts,pitching_baseonballs,pitching_intentionalwalks,pitching_hits,pitching_hitbypitch,pitching_atbats,pitching_obp,pitching_caughtstealing,pitching_stolenbases,pitching_stolenbasepercentage,pitching_numberofpitches,pitching_era,pitching_inningspitched,pitching_saveopportunities,pitching_earnedruns,pitching_whip,pitching_battersfaced,pitching_outs,pitching_completegames,pitching_shutouts,pitching_pitchesthrown,pitching_balls,pitching_strikes,pitching_strikepercentage,pitching_hitbatsmen,pitching_balks,pitching_wildpitches,pitching_pickoffs,pitching_groundoutstoairouts,pitching_rbi,pitching_pitchesperinning,pitching_runsscoredper9,pitching_homerunsper9,pitching_inheritedrunners,pitching_inheritedrunnersscored,pitching_catchersinterference,pitching_sacbunts,pitching_sacflies,pitching_passedball,pitching_popouts,pitching_lineouts,fielding_caughtstealing,fielding_stolenbases,fielding_stolenbasepercentage,fielding_assists,fielding_putouts,fielding_errors,fielding_chances,fielding_passedball,fielding_pickoffs,team_name,team_id,game_id
0,5,11,7,0,1,0,0,7,2,0,5,0,.215,30,.283,.351,.634,0,0,.---,2,0,32,6,0,8,0,0,0,0,-.--,1,1,8,11,12,21,4,1,5,4,5,0,24,0,50,.518,0,0,.---,196,5.89,9.0,0,18,1.63,56,27,0,0,196,70,126,.640,0,0,1,0,0.92,20,21.78,21.00,5.00,0,0,0,0,1,0,2,2,0,0,.---,11,27,1,39,1,0,Colorado Rockies,115,777976
1,8,11,12,21,4,1,5,4,5,0,24,0,.269,50,.335,.409,.744,0,0,.---,0,0,56,45,20,21,0,1,0,0,10.00,2,2,5,11,7,0,1,0,0,7,2,0,5,0,30,.219,0,0,.---,104,3.08,9.0,0,0,1.16,32,27,0,1,104,36,68,.650,0,0,0,0,1.57,0,11.56,0.00,0.00,0,0,0,0,0,0,1,1,0,0,.---,10,27,0,37,0,0,San Diego Padres,135,777976
