,game_id,at_bat_index,ab_start_time,ab_end_time,inning,half_inning,is_complete,event_type,play_event_description,batter_id,batter_name,pitcher_id,pitcher_name,pitcher_hand,batter_side,result_type,play_result_event,play_result_description,rbi,home_score,away_score,is_out,balls,strikes,outs,pitch_number,call_code,call_description,pitch_type,pitch_code,ball_color,trail_color,is_in_play,is_strike,is_ball,play_balls,play_strikes,play_outs,start_speed,end_speed,strike_zone_top,strike_zone_zottom,zone,plate_time,extension,break_angle,break_length,break_vertical,break_vertical_induced,break_horizontal,spin_rate,spin_direction,launch_speed,launch_angle,total_distance,trjaectory,hardness,location,hit_x,hit_y,runner1_id,runner1_name,runner1_start,runner1_end,runner1_out_base,runner1_is_out,runner1_credit_rbi,runner1_credit_earned,runner1_event,coordinates_ay,coordinates_az,coordinates_pfxx,coordinates_pfxz,coordinates_px,coordinates_pz,coordinates_vx0,coordinates_vy0,coordinates_vz0,coordinates_x,coordinates_y,coordinates_x0,coordinates_y0,coordinates_z0,coordinates_ax,runner2_id,runner2_name,runner2_start,runner2_end,runner2_out_base,runner2_is_out,runner2_credit_rbi,runner2_credit_earned,runner2_event,runner3_id,runner3_name,runner3_start,runner3_end,runner3_out_base,runner3_is_out,runner3_credit_rbi,runner3_credit_earned,runner3_event,runner4_id,runner4_name,runner4_start,runner4_end,runner4_out_base,runner4_is_out,runner4_credit_rbi,runner4_credit_earned,runner4_event,runner5_id,runner5_name,runner5_start,runner5_end,runner5_out_base,runner5_is_out,runner5_credit_rbi,runner5_credit_earned,runner5_event,runner6_id,runner6_name,runner6_start,runner6_end,runner6_out_base,runner6_is_out,runner6_credit_rbi,runner6_credit_earned,runner6_event,updated_at
10,777977,64,2025-05-11T01:16:31.829Z,2025-05-11T01:17:46.952Z,8,top,1,pitch,Called Strike,686765,Nick Sogard,672582,Angel Zerpa,L,R,atBat,Single,Nick Sogard singles on a ground ball to third baseman Jonathan India.,0,1,7,0,1,2,0,1,C,Called Strike,Sinker,SI,"rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",0,1,0,0,1,0,95.7,87.6,3.08,1.49747,1,0.39413,5.57202,32.4,7.2,-27.7,2.3,-17.6,2135.0,137.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Single,30.2382,-29.4968,11.0487,1.37046,-0.393591,2.7747,-11.9351,-138.821,-1.80189,132.0,163.86,2.52008,50.0055,5.39029,21.6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
11,777977,64,2025-05-11T01:16:31.829Z,2025-05-11T01:17:46.952Z,8,top,1,pitch,Called Strike,686765,Nick Sogard,672582,Angel Zerpa,L,R,atBat,Single,Nick Sogard singles on a ground ball to third baseman Jonathan India.,0,1,7,0,1,2,0,2,C,Called Strike,Sinker,SI,"rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",0,1,0,0,2,0,94.3,86.6,3.08,1.34233,4,0.399436,5.40126,34.8,7.2,-24.5,6.4,-16.7,1883.0,130.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Single,28.7569,-24.8789,10.4428,3.82616,-0.702757,2.46424,-11.5037,-136.86,-3.63555,143.79,172.25,2.18806,50.0025,5.50366,19.9113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
12,777977,64,2025-05-11T01:16:31.829Z,2025-05-11T01:17:46.952Z,8,top,1,pitch,Ball,686765,Nick Sogard,672582,Angel Zerpa,L,R,atBat,Single,Nick Sogard singles on a ground ball to third baseman Jonathan India.,0,1,7,0,1,2,0,3,B,Ball,Four-Seam Fastball,FF,"rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",0,0,1,1,2,0,95.8,87.5,3.08,1.50225,11,0.393013,5.15324,30.0,4.8,-16.8,13.0,-9.7,2073.0,122.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Single,30.6695,-18.2604,6.40818,7.07233,-0.0556744,4.13653,-9.46721,-139.258,-0.226356,119.12,127.09,2.55228,50.0063,5.42465,12.6147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
13,777977,64,2025-05-11T01:16:31.829Z,2025-05-11T01:17:46.952Z,8,top,1,pitch,Foul,686765,Nick Sogard,672582,Angel Zerpa,L,R,atBat,Single,Nick Sogard singles on a ground ball to third baseman Jonathan India.,0,1,7,0,1,2,0,4,F,Foul,Sinker,SI,"rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",0,1,0,1,2,0,96.7,88.6,3.08,1.41,2,0.389327,5.39987,30.0,7.2,-26.3,2.9,-15.5,2104.0,128.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Single,31.0348,-28.9359,9.71517,1.61357,-0.168027,3.18573,-10.6379,-140.542,-0.897263,123.4,152.77,2.39894,50.003,5.38388,19.4893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
14,777977,64,2025-05-11T01:16:31.829Z,2025-05-11T01:17:46.952Z,8,top,1,pitch,"In play, no out",686765,Nick Sogard,672582,Angel Zerpa,L,R,atBat,Single,Nick Sogard singles on a ground ball to third baseman Jonathan India.,0,1,7,0,1,2,0,5,D,"In play, no out",Sinker,SI,"rgba(26, 86, 190, 1.0)","rgba(50, 0, 221, 1.0)",1,0,0,1,2,0,93.3,85.3,3.08,1.41,4,0.404602,5.48389,25.2,7.2,-31.1,0.6,-14.2,1511.0,133.0,97.8,4.0,96.0,ground_ball,medium,5.0,81.13,150.73,686765,Nick Sogard,,1B,,0,0,0,Single,30.19,-31.131,9.09697,0.561836,-0.725974,2.28823,-10.4667,-135.485,-3.01486,144.67,177.0,2.00931,50.0017,5.59584,16.8749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
15,777977,78,2025-05-11T01:40:42.966Z,2025-05-11T01:41:47.190Z,9,top,1,pitch,Ball,686765,Nick Sogard,608717,Chris Stratton,R,L,atBat,Walk,Nick Sogard walks.,0,1,10,0,4,0,2,1,B,Ball,Curveball,CU,"rgba(39, 161, 39, 1.0)","rgba(0, 34, 255, 1.0)",0,0,1,1,0,2,81.5,75.0,3.08,1.33071,11,0.462264,6.20198,10.8,12.0,-52.3,-11.2,-10.3,3107.0,53.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Walk,24.0309,-41.1181,5.62612,-6.29462,-1.00046,2.26238,0.504175,-118.764,-0.0706418,155.14,177.7,-1.94635,50.0051,6.05115,7.98935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
16,777977,78,2025-05-11T01:40:42.966Z,2025-05-11T01:41:47.190Z,9,top,1,pitch,Ball,686765,Nick Sogard,608717,Chris Stratton,R,L,atBat,Walk,Nick Sogard walks.,0,1,10,0,4,0,2,2,B,Ball,Changeup,CH,"rgba(39, 161, 39, 1.0)","rgba(0, 85, 254, 1.0)",0,0,1,2,0,2,85.7,79.0,3.08,1.35557,11,0.437832,6.46031,22.8,8.4,-34.3,2.8,14.5,2132.0,235.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Walk,23.8396,-29.8205,-8.51735,1.47949,-1.36654,3.05844,4.26077,-124.841,-0.913773,169.09,156.2,-1.98389,50.0012,5.87188,-13.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
17,777977,78,2025-05-11T01:40:42.966Z,2025-05-11T01:41:47.190Z,9,top,1,pitch,Ball,686765,Nick Sogard,608717,Chris Stratton,R,L,atBat,Walk,Nick Sogard walks.,0,1,10,0,4,0,2,3,B,Ball,Four-Seam Fastball,FF,"rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",0,0,1,3,0,2,92.0,84.6,3.20431,1.39615,11,0.407891,6.41714,8.4,4.8,-19.0,13.1,2.8,2567.0,213.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Walk,27.4471,-18.6552,-2.07453,7.39444,-0.410475,3.60848,4.74733,-133.999,-2.30032,132.65,141.35,-1.93121,50.0062,5.80288,-3.79524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
18,777977,78,2025-05-11T01:40:42.966Z,2025-05-11T01:41:47.190Z,9,top,1,pitch,Ball,686765,Nick Sogard,608717,Chris Stratton,R,L,atBat,Walk,Nick Sogard walks.,0,1,10,0,4,0,2,4,B,Ball,Four-Seam Fastball,FF,"rgba(39, 161, 39, 1.0)","rgba(188, 0, 33, 1.0)",0,0,1,4,0,2,91.5,84.2,3.16129,1.51624,12,0.410027,6.45776,1.2,3.6,-17.4,15.1,0.4,2491.0,205.0,,,,,,,,,686765,Nick Sogard,,1B,,0,0,0,Walk,27.0578,-16.771,-0.798793,8.51105,0.0467057,3.65953,5.31298,-133.28,-2.56097,115.22,139.97,-1.86368,50.0018,5.83568,-1.44599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-11 12:16:01
19,777965,8,2025-05-11T18:31:32.352Z,2025-05-11T18:33:08.519Z,2,top,1,pitch,Called Strike,686765,Nick Sogard,607625,Seth Lugo,R,L,atBat,Lineout,Nick Sogard lines out to right fielder Drew Waters.,0,0,0,1,3,2,2,1,C,Called Strike,Sinker,SI,"rgba(170, 21, 11, 1.0)","rgba(50, 0, 221, 1.0)",0,1,0,0,1,1,90.7,84.2,3.17443,1.4514,4,0.412231,6.06244,32.4,6.0,-24.2,8.5,15.5,2266.0,220.0,,,,,,,,,686765,Nick Sogard,,,1B,1,0,0,Lineout,24.3708,-23.2303,-8.93116,4.98653,-0.579113,2.14439,4.24034,-132.146,-3.71465,139.07,180.88,-1.03173,50.0047,5.24644,-16.0238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-20 20:46:42
