,game_id,game_datetime,game_date,home_abbr,away_abbr,home_id,away_id,status,game_type,double_header,game_num,home_team,away_team,home_lineup,away_lineup
19,777964,2025-05-11T17:40:00Z,2025-05-11,TB,MIL,139,158,P,R,N,1,Tampa Bay Rays,Milwaukee Brewers,"[802415, 664040, 650490, 666018, 670224, 676609, 608671, 670764, 643376]","[686217, 694192, 592885, 661388, 668930, 656555, 641343, 687401, 702332]"
20,777963,2025-05-11T18:10:00Z,2025-05-11,HOU,CIN,117,113,P,R,N,1,Houston Astros,Cincinnati Reds,"[665161, 670623, 572233, 673237, 605170, 701305, 676694, 663898, 701358]","[670770, 680574, 682829, 669720, 666158, 668715, 624431, 666181, 669289]"
21,777965,2025-05-11T18:10:00Z,2025-05-11,KC,BOS,118,111,P,R,N,1,Kansas City Royals,Boston Red Sox,"[663697, 677951, 686469, 521692, 672580, 686681, 671221, 571912, 664728]","[680776, 646240, 608324, 677800, 596115, 686765, 666152, 665966, 678882]"
22,777956,2025-05-11T18:10:00Z,2025-05-11,MIN,SF,142,137,P,R,N,1,Minnesota Twins,San Francisco Giants,"[621439, 663616, 664034, 686797, 680777, 650489, 668904, 665019, 664056]","[573262, 642715, 808982, 656305, 671218, 664774, 682641, 669087, 689172]"
23,777966,2025-05-11T18:10:00Z,2025-05-11,CWS,MIA,145,146,P,R,N,1,Chicago White Sox,Miami Marlins,"[805367, 668942, 683734, 642136, 672820, 641943, 671284, 681460, 572191]","[669364, 660821, 682663, 676572, 669065, 681393, 670223, 663743, 691594]"
24,777955,2025-05-11T19:10:00Z,2025-05-11,COL,SD,115,135,P,R,N,1,Colorado Rockies,San Diego Padres,"[686668, 687597, 641857, 696100, 669911, 666160, 571657, 607732, 676701]",[]
25,777957,2025-05-11T20:05:00Z,2025-05-11,ATH,NYY,133,147,S,R,N,1,Athletics,New York Yankees,[],[]
26,777961,2025-05-11T20:07:00Z,2025-05-11,LAA,BAL,108,110,S,R,N,1,Los Angeles Angels,Baltimore Orioles,[],[]
27,777954,2025-05-11T20:10:00Z,2025-05-11,AZ,LAD,109,119,S,R,N,1,Arizona Diamondbacks,Los Angeles Dodgers,[],[]
28,777958,2025-05-11T20:10:00Z,2025-05-11,SEA,TOR,136,141,S,R,N,1,Seattle Mariners,Toronto Blue Jays,[],[]
29,777971,2025-05-11T23:10:00Z,2025-05-11,CLE,PHI,114,143,S,R,N,1,Cleveland Guardians,Philadelphia Phillies,[],[]
